owner,spender,blockNumber,transactionHash
0x9428b02560e91608BD9780a916d5eB89Eb9a4b6D,0x880DeCADe22aD9c58A8A4202EF143c4F305100B3,23950690,https://polygonscan.com/tx/0x50adf9265f5aa741841a266323195483c1b79990ede967fda3f8a0c97b5eae62
0x315E6635a6aD955F08b044a6eF67b53d6b72D621,0xBA12222222228d8Ba445958a75a0704d566BF2C8,23950700,https://polygonscan.com/tx/0x535ed0802e6316d16a81a11fd6f9227b373806ce9bf01bcbe249cd01826983bf
0x30d18BC825229BE06303C91b4Ab2D4a2C952e8af,0x880DeCADe22aD9c58A8A4202EF143c4F305100B3,23950718,https://polygonscan.com/tx/0x0dff965a0a1ff44fdda7d5c1b15c5d4102681d91f49168d91e8663ce6d5f4881
0x4036CfABa5F50ec243e00115A9Cb44d75ccc0eC0,0xF2e4209afA4C3c9eaA3Fb8e12eeD25D8f328171C,23950719,https://polygonscan.com/tx/0x8ffef937cde41389b00023955da84fae0064cb10803a4eac0ec379b55766eb01
0x369606Edde71fb6ec43353330796544852baD340,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,23951008,https://polygonscan.com/tx/0xd06322c5d1f40d4c0c237cb56f26a28a36befec7c13b89ab3dca7b13a435251e
0x1BE9F11943eB74F7EA83C3bc4e5Fbb4838A51D17,0xBA12222222228d8Ba445958a75a0704d566BF2C8,23950779,https://polygonscan.com/tx/0xa4adac80abb70bce094a1975578c943052e44cd4e4b090df50a3690cd0a724ae
0x3D6b617d2C441Da58d4c215AFCee6504274ACd18,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,23951560,https://polygonscan.com/tx/0xe007ee56db9060fb07a131d5fa848fccd0d9d5e1f9c995cfcff0fd6148276651
0xF595AF9c3DF58D88051818Ab1Ab3CEf7a32C2258,0x880DeCADe22aD9c58A8A4202EF143c4F305100B3,23951923,https://polygonscan.com/tx/0x152a2b8351c59e7329b53e475dcc8133e1da48b501b8f4b507da25dc8b08f3b9
0xBb4B390FB86980fc0c4a904F6E5a98B5b6A90814,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,23950720,https://polygonscan.com/tx/0x1e4fa99bc962b697a03d58c16e6626de95063afcdc54d689ed2612067eff597d
0xB71Fb919489092f5262cc39235F1bD18F728Dd4B,0x216B4B4Ba9F3e719726886d34a177484278Bfcae,23951967,https://polygonscan.com/tx/0xe93981d5dc9fc16d2b366f6375179a9a45a39bc0f7f29e2f9361cee3d2181091
